
0,1
35,1
66,1
94,1
117,1
138,1
156,1
171,1
185,1
197,1
208,1
217,0
0,1
46,1
79,1
106,1
129,1
149,1
166,1
181,1
194,1
205,1
216,0
0,1
47,1
79,1
106,1
129,1
149,1
166,1
182,1
195,1
206,1
216,0
0,1
47,1
79,1
106,1
129,1
149,1
167,1
182,1
195,1
206,1
216,0
0,1
47,1
79,1
106,1
129,1
149,1
167,1
182,1
195,1
206,1
0,1
46,1
78,1
106,1
129,1
149,1
166,1
181,1
194,1
206,1
216,0
0,1
47,1
79,1
106,1
129,1
149,1
167,1
182,1
195,1
206,1
216,0
0,1
47,1
79,1
106,1
129,1
149,1
167,1
182,1
195,1
206,1
217,0
0,1
47,1
79,1
106,1
129,1
149,1
167,1
182,1
195,1
206,1
216,0
0,1
47,1
79,1
106,1
129,1
149,1
167,1
182,1
195,1
206,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0

>
