4.99,6.26,2.57,1.37,2.61,8.5,9.28,4.57,1.89,7.24
3.7,7.4,6.08,9.43,1.46,4.16,7.68,3.56,5.97,1.2
8.45,3.39,8.14,5.61,6.12,2.82,3.42,0.24,1.53,9.27
1.86,8.56,9.84,7.05,4.68,1.26,8.88,9.27,6.85,2.15
3.54,4.84,5.72,3.81,1.64,3.33,8.83,7.35,4.31,1.13
3.1,2.06,6.33,2.03,6.99,8.02,1.77,5.34,8.4,9.77
4.67,3.09,1.39,1.7,4.8,7.23,4.09,6.45,1.59,6.87
1.98,4.37,5.67,5.36,7.04,6.92,0.21,7.6,6.01,2.26
0.69,5.07,8.95,4.57,6.64,9.27,8.23,6.48,4.43,3.84
7.57,1.28,2.1,6.75,3.84,2.76,3.34,0.56,7.97,7.28
8.14,6.99,4.56,4.53,4.28,1.27,0.57,8.17,4.5,3.07
7.02,4.2,3.72,1.88,1.82,2.19,6.02,4.8,7.86,0.45
0.85,2.44,4.83,1.86,2.69,4.91,8.72,4.4,0.73,9.62
6.26,4.32,6.1,8.63,4.23,0.67,7,8.5,2.99,6.48
9.46,5.21,2.44,4.71,8.34,5.56,7.37,8.44,9.52,3.09
6.06,8.94,6.11,2.74,1.32,7.65,2.57,3.96,7.15,5.99
9.25,5.48,2.7,8.51,7.12,6.2,7.18,0.14,6.19,1.12
1.13,6.88,8.16,0.58,8.42,5.71,0.28,2.17,7.56,3.05
4.96,1.83,6.91,4.25,4.58,7.76,2.6,3.02,0.11,3.89
8.5,8,8.01,4.6,2.57,6.9,8.55,8.58,1.12,0.68
0,,,,,,,,,
,,,,,,,,,
4.96345,,,,,,,,,
3.8607793663,,,,,,,,,
