
		------ eVeryDay --------
		 SIMPLE DATA LOGGING

	      Recording Date: MAR 5, 2012 


	Time	Temperature(C)	LDR reading
	--------------------------------
	20:26	     27.50	635
	20:27	     29.75	695
	20:28	     29.75	721
	20:29	     29.75	766
	20:30	     29.75	778
	20:31	     29.75	769
	20:32	     29.75	759
	20:33	     29.75	833
	20:34	     29.25	862
	20:35	     28.75	865
	20:36	     28.75	868
	20:37	     28.50	867
	20:38	     28.25	870
	20:39	     28.25	872
	20:40	     28.00	869
	20:41	     28.00	870
	20:42	     28.25	869
	20:43	     28.00	867
	20:44	     28.00	866
	20:45	     28.00	870
	20:46	     28.00	870
	20:47	     28.00	868
	20:48	     28.00	870
	20:49	     28.00	968
	20:50	     28.25	864
	20:51	     28.00	854
	20:52	     28.00	855
	20:53	     28.00	855
	20:54	     28.00	857
	20:55	     28.00	855
	20:56	     28.00	855
	20:57	     28.00	854
	20:58	     28.00	854
	20:59	     28.00	855
	21:00	     28.00	856
	21:01	     28.00	856
	21:02	     28.00	851
	21:03	     28.00	851
	21:04	     28.00	854
	21:05	     28.00	852
	21:06	     28.00	854
	21:07	     28.00	855
	21:08	     28.00	854
	21:09	     28.00	855
	21:10	     28.00	853
	21:11	     28.00	854
	21:12	     28.00	853
	21:13	     28.00	848
	21:14	     28.00	848
	21:15	     28.00	849
	21:16	     28.00	850
	21:17	     28.00	855
	21:18	     28.00	855
	21:19	     28.00	855
	21:20	     28.00	855
	21:21	     28.00	854
	21:22	     28.00	857
	21:23	     28.00	858
	21:24	     28.00	858
	21:25	     28.00	859
	21:26	     28.00	858
	21:27	     28.00	856
	21:28	     28.00	855
	21:29	     28.00	855
	21:30	     28.00	853
	21:31	     28.00	854
	21:32	     28.00	855
	21:33	     28.00	855
	21:34	     28.00	857
	21:35	     28.00	855
	21:36	     28.00	850
	21:37	     27.75	849
	21:38	     27.75	849
	21:39	     27.75	849
	21:40	     27.75	849
	21:41	     27.75	847
	21:42	     27.75	846
	21:43	     27.75	847
	21:44	     27.75	847
	21:45	     27.75	851
	21:46	     27.75	850
	21:47	     27.75	850
	21:48	     27.75	854
	21:49	     27.75	855
	21:50	     27.75	856
	21:51	     27.75	855
	21:52	     27.75	852
	21:53	     27.75	855
	21:54	     27.75	853
	21:55	     27.75	851
	21:56	     27.75	848
	21:57	     27.75	849
	21:58	     27.75	850
	21:59	     27.75	851
	22:00	     27.75	852
	22:01	     27.75	851
	22:02	     27.75	852
	22:03	     27.75	849
	22:04	     27.75	848
	22:05	     27.75	849
	22:06	     27.75	849
	22:07	     27.75	848
	22:08	     27.75	846
	22:09	     27.75	846
	22:10	     27.75	849
	22:11	     27.75	849
	22:12	     27.50	847
	22:13	     27.50	847
	22:14	     27.50	848
	22:15	     27.25	849
	22:16	     27.00	848
	22:17	     27.00	848
	22:18	     27.00	848
	22:19	     27.00	847
	22:20	     27.25	846
	22:21	     27.25	845
	22:22	     27.00	848
	22:23	     27.00	845
	22:24	     27.25	846
	22:25	     27.25	846
	22:26	     27.25	845
	22:27	     27.25	845
	22:28	     27.00	845
	22:29	     27.00	844
	22:30	     27.25	843
	22:31	     27.25	846
	22:32	     27.00	846
	22:33	     27.00	844
	22:34	     27.00	844
	22:35	     27.00	845
	22:36	     27.00	845
	22:37	     27.00	842
	22:38	     27.00	842
	22:39	     27.00	843
	22:40	     27.00	841
	22:41	     27.00	838
	22:42	     27.00	838
	22:43	     27.00	838
	22:44	     27.00	838
	22:45	     27.00	839
	22:46	     27.00	839
	22:47	     27.00	841
	22:48	     27.00	844
	22:49	     27.00	843
	22:50	     27.00	845
	22:51	     26.75	843
	22:52	     26.75	843
	22:53	     26.75	842
	22:54	     26.75	839
	22:55	     26.75	839
	22:56	     26.75	838
	22:57	     26.75	833
	22:58	     26.75	831
	22:59	     26.75	832
	23:00	     26.75	834
	23:01	     26.75	836
	23:02	     26.75	839
	23:03	     26.75	841
	23:04	     26.75	841
	23:05	     26.75	843
	23:06	     26.75	846
	23:07	     26.75	846
	23:08	     26.75	842
	23:09	     26.75	839
	23:10	     26.75	837
	23:11	     26.75	833
	23:12	     26.75	838
	23:13	     26.75	840
	23:14	     26.75	840
	23:15	     26.75	838
	23:16	     26.75	836
	23:17	     26.75	831
	23:18	     26.50	831
	23:19	     26.75	831
	23:20	     26.75	836
	23:21	     26.75	837
	23:22	     26.75	836
	23:23	     26.75	836
	23:24	     26.75	839
	23:25	     26.75	840
	23:26	     26.75	838
	23:27	     26.75	835
	23:28	     26.75	835
	23:29	     26.75	833
	23:30	     26.50	832
	23:31	     26.25	837
	23:32	     26.25	835
	23:33	     26.50	835
	23:34	     26.50	834
	23:35	     26.50	835
	23:36	     26.50	835
	23:37	     26.25	836
	23:38	     26.25	834
	23:39	     26.50	987
	23:40	     26.75	1020
	23:41	     26.75	1022
	23:42	     26.75	1022
	23:43	     26.75	1022
	23:44	     26.75	1022
	23:45	     26.75	1022
	23:46	     26.75	1022
	23:47	     27.00	1000
	23:48	     27.00	985
	23:49	     27.00	983
	23:50	     27.00	983
	23:51	     27.00	984
	23:52	     27.00	984
	23:53	     27.00	984
	23:54	     27.00	984
	23:55	     27.00	984
	23:56	     27.00	986
	23:57	     27.00	985
	23:58	     27.00	985
	23:59	     27.00	984
	00:00	     27.00	984
	00:01	     27.00	984
	00:02	     27.00	985
	00:03	     27.00	985
	00:04	     27.00	985
	00:05	     27.00	984
	00:06	     27.00	986
	00:07	     27.00	986
	00:08	     27.00	984
	00:09	     27.00	984
	00:10	     27.00	986
	00:11	     27.00	986
	00:12	     27.00	985
	00:13	     27.00	986
	00:14	     27.00	987
	00:15	     27.00	987
	00:16	     27.00	986
	00:17	     27.00	985
	00:18	     27.00	985
	00:19	     27.00	985
	00:20	     27.00	985
	00:21	     27.00	985
	00:22	     27.00	986
	00:23	     27.00	985
	00:24	     27.00	987
	00:25	     26.75	986
	00:26	     26.75	987
	00:27	     26.75	987
	00:28	     26.75	985
	00:29	     26.75	985
	00:30	     26.75	987
	00:31	     26.75	986
	00:32	     26.75	986
	00:33	     26.75	986
	00:34	     26.75	987
	00:35	     26.75	986
	00:36	     26.75	987
	00:37	     26.75	988
	00:38	     26.75	987
	00:39	     26.75	988
	00:40	     26.75	987
	00:41	     26.25	987
	00:42	     26.25	987
	00:43	     26.25	986
	00:44	     26.50	987
	00:45	     26.50	985
	00:46	     26.25	985
	00:47	     26.50	985
	00:48	     26.75	985
	00:49	     26.50	987
	00:50	     26.50	987
	00:51	     26.25	987
	00:52	     26.25	986
	00:53	     26.25	986
	00:54	     26.00	987
	00:55	     26.25	987
	00:56	     26.50	985
	00:57	     26.25	985
	00:58	     26.25	984
	00:59	     26.50	984
	01:00	     26.50	984
	01:01	     26.50	986
	01:02	     26.50	984
	01:03	     26.50	984
	01:04	     26.50	987
	01:05	     26.50	985
	01:06	     26.50	987
	01:07	     26.25	987
	01:08	     26.25	985
	01:09	     26.25	986
	01:10	     26.50	987
	01:11	     26.25	986
	01:12	     26.50	985
	01:13	     26.75	985
	01:14	     26.25	985
	01:15	     26.25	987
	01:16	     26.50	986
	01:17	     26.25	986
	01:18	     26.50	984
	01:19	     26.50	984
	01:20	     26.25	984
	01:21	     26.25	985
	01:22	     26.00	984
	01:23	     26.00	984
	01:24	     26.00	984
	01:25	     26.00	984
	01:26	     26.25	984
	01:27	     26.25	985
	01:28	     26.00	986
	01:29	     26.25	984
	01:30	     26.25	984
	01:31	     26.25	984
	01:32	     26.00	985
	01:33	     26.25	984
	01:34	     26.25	985
	01:35	     26.25	984
	01:36	     26.25	984
	01:37	     26.25	984
	01:38	     26.00	984
	01:39	     26.00	984
	01:40	     26.00	984
	01:41	     26.25	984
	01:42	     26.25	984
	01:43	     26.25	984
	01:44	     26.00	987
	01:45	     26.00	987
	01:46	     26.00	986
	01:47	     26.00	985
